"","job.code","job.name","tasks.less.automated","tasks.more.automated","May.2017.000s","male 0-9 years","male 10-19 years","male 20-29 years","male 30-39 years","male 40-49 years","male 50-59 years","male 60-69 years","male 70-79 years","male 80-89 years","male 90-99 years","male 100 years and over","female 0-9 years","female 10-19 years","female 20-29 years","female 30-39 years","female 40-49 years","female 50-59 years","female 60-69 years","female 70-79 years","female 80-89 years","female 90-99 years","female 100 years and over","under.10","under.20","under.30","under.40","under.50","under.60","under.70","under.80","under.90","under.100","over.100","total.men","total.women","percent.women","sum","percent.under.30","percent.thirtyto60","percent.over50","percent.over60"
"1","821","Construction and Mining Labourers",14,86,183.57,0,6873,35001,31539,28229,19180,6829,449,27,5,0,0,124,631,656,740,533,135,15,4,0,0,0,7005,35630,32199,28970,19707,6963,465,33,5,0,128132,2838,2.16690845231732,130977,32.5515166785008,61.74824587523,20.7463905876604,5.70023744626919
"2","333","Glaziers, Plasterers and Tilers",15,85,84.03,0,3360,14798,13861,11854,7259,2443,146,3,0,0,0,39,168,224,276,174,38,3,0,0,0,0,3395,14960,14081,12133,7433,2487,151,3,0,0,53724,922,1.68722321853384,54643,33.5907618542174,61.5760481671943,18.4360302326007,4.83318997858829
"3","332","Floor Finishers and Painting Trades Workers",16,84,58.51,0,1946,9307,10373,11298,9236,4275,271,12,0,0,0,84,364,361,482,326,95,10,0,0,0,0,2036,9670,10734,11784,9559,4370,286,18,5,0,46718,1722,3.55491329479769,48462,24.1550080475424,66.1900045396393,29.379720193141,9.65498741281829
"4","851","Food Preparation Assistants",16,84,190.2,0,32561,15115,4770,3681,3249,1444,146,12,0,0,0,16801,11665,8264,13166,13631,4829,276,23,3,0,0,49360,26779,13040,16844,16883,6275,422,35,5,0,60978,68658,52.9621401462557,129643,58.7297424465648,36.0736792576537,18.2192636702329,5.19657829578149
"5","811","Cleaners and Laundry Workers",23,77,275.34,0,4942,16821,15389,17058,19023,12168,1659,132,7,0,0,3350,14054,20655,37959,41292,16892,1531,121,8,0,0,8293,30871,36047,55016,60315,29061,3189,258,14,0,87199,135862,60.9080027436441,223064,17.5572929742137,67.8630348240864,41.6189972384607,14.5796722017
"6","322","Fabrication Engineering Trades Workers",24,76,79.66,0,5455,18564,17217,16879,11535,4639,316,24,0,0,0,65,169,178,184,97,37,11,0,0,0,0,5526,18733,17396,17068,11633,4673,324,23,0,0,74629,741,0.983149794347884,75376,32.1839842920824,61.1560708978985,22.0932392273403,6.6599448100191
"7","362","Horticultural Trades Workers",25,75,95.42,0,3052,12488,12665,13074,11243,5781,846,81,3,0,0,415,1910,2674,3380,2444,1068,150,14,0,0,0,3471,14394,15341,16457,13691,6854,1002,89,3,0,59233,12055,16.9102794299181,71302,25.0553981655494,63.7976494347985,30.3483773246192,11.1469523996522
"8","832","Packers and Product Assemblers",30,70,90.84,0,2846,9451,8079,8139,6586,2399,161,9,3,0,0,1247,5848,6661,10616,9132,2234,92,17,0,0,0,4095,15296,14739,18752,15716,4632,245,26,3,0,37673,35847,48.7581610446137,73504,26.3808772311711,66.9446560731389,28.0556160208968,6.67446669569003
"9","321","Automotive Electricians and Mechanics",31,69,114.88,0,8407,23824,17741,17661,13950,5544,501,39,3,0,0,175,371,155,190,109,39,3,0,0,0,0,8579,24199,17901,17852,14060,5582,501,44,4,0,87670,1042,1.17458742898368,88722,36.9446135118685,56.1450373075449,22.7576023985032,6.91034918058655
"10","721","Mobile Plant Operators",32,68,135.47,0,1783,19300,23790,26264,21756,8682,544,32,0,0,0,98,909,893,1046,599,164,11,0,0,0,0,1879,20201,24680,27312,22355,8840,561,35,0,0,102151,3720,3.51371008113648,105863,20.8571455560489,70.2294474934585,30.0303222088926,8.91340695049262
"11","712","Stationary Plant Operators",32,68,104.96,0,1048,17041,24467,25653,19718,5912,247,9,3,0,0,120,1484,1381,1443,790,165,16,0,0,0,0,1170,18522,25844,27099,20508,6084,263,14,3,0,94098,5399,5.42629426012845,99507,19.7895625433387,73.8149074939451,27.0051353171134,6.39552996271619
"12","324","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",33,67,39.4,0,2152,6586,6187,6292,4599,1678,115,7,0,0,0,67,131,107,142,101,37,3,3,0,0,0,2218,6720,6295,6433,4703,1713,113,7,0,0,27616,591,2.09522458964087,28202,31.69278774555,61.8076732146656,23.175661300617,6.49953903978441
"13","392","Printing Trades Workers",34,66,18.02,0,279,2225,3924,4575,3428,1454,116,11,0,0,0,66,580,827,1066,782,322,23,0,0,0,0,346,2804,4748,5646,4211,1780,144,11,0,0,16012,3666,18.6299420672833,19690,15.997968511935,74.1747079735907,31.2138141188421,9.82732351447435
"14","394","Wood Trades Workers",34,66,37.59,0,2299,6828,5483,4972,3839,1620,168,12,0,0,0,85,209,239,297,307,128,6,0,0,0,0,2382,7032,5722,5273,4145,1748,177,9,0,0,25221,1271,4.79767476974181,26488,35.5406221685291,57.157958320749,22.9500151011779,7.30141951072184
"15","393","Textile, Clothing and Footwear Trades Workers",36,64,12.73,0,191,714,926,1477,1530,857,166,16,3,0,0,90,651,876,1744,1949,845,88,13,0,0,0,277,1360,1799,3222,3482,1700,260,35,3,0,5880,6256,51.5491100856954,12138,13.4865710990278,70.0527269731422,45.1474707530071,16.46070192783
"16","741","Storepersons",37,63,120.05,0,5063,21279,18365,17448,14937,6313,333,14,4,0,0,732,3766,3837,5443,3983,861,30,4,0,0,0,5795,25044,22201,22886,18923,7178,362,21,4,0,83756,18656,18.2166152404015,102414,30.1120940496417,62.5012205362548,25.8636514539028,7.38668541410354
"17","711","Machine Operators",38,62,58.19,0,1468,9738,11625,12790,10205,3569,257,35,3,0,0,382,1950,2805,5888,6187,2003,131,11,0,0,0,1847,11687,14427,18676,16388,5567,392,38,4,3,49690,19357,28.034527206106,69029,19.6062524446247,71.6959538744586,32.4385403236321,8.69779368091672
"18","831","Food Process Workers",38,62,68.66,0,1856,9495,9427,8432,6206,1980,90,4,4,0,0,538,2378,3040,4404,3505,763,23,0,0,0,0,2397,11871,12470,12836,9716,2742,114,9,4,0,37494,14651,28.0966535621824,52159,27.3548189190744,67.1446921911846,24.128146628578,5.50048888974098
"19","334","Plumbers",40,60,86.43,0,6273,20503,14347,12198,9151,3606,263,21,7,0,0,34,162,157,134,111,32,3,0,0,0,0,6307,20666,14503,12337,9270,3646,267,25,7,0,66369,633,0.944747917972598,67028,40.2413916572179,53.8730082950409,19.7156412245629,5.88560004774124
"20","431","Hospitality Workers",42,58,298.05,0,13121,31841,9216,5433,3915,1865,238,16,3,0,0,39836,58492,17906,16328,11398,3129,192,14,3,0,0,52962,90328,27117,21758,15314,4992,433,34,10,0,65648,147298,69.1715270538071,212948,67.2887277645247,30.1430396153051,9.75965963521611,2.56823262017018
"21","399","Miscellaneous Technicians and Trades Workers",44,56,61.45,0,1000,6900,8494,9378,8090,2929,305,47,0,0,0,469,3684,3506,4279,3738,1204,87,4,0,0,0,1468,10582,12001,13659,11825,4133,392,50,0,0,37143,16971,31.3615700188491,54110,22.2694511180928,69.2755498059508,30.3086305673628,8.45499907595639
"22","841","Farm, Forestry and Garden Workers",44,56,121.62,0,5261,15043,12260,13479,12421,6541,999,132,4,3,0,1922,5362,3896,4960,3944,1525,283,26,3,0,0,7179,20406,16154,18433,16364,8064,1279,157,11,3,66143,21921,24.8921239098837,88050,31.3287904599659,57.8659852356616,29.3901192504259,10.8052243043725
"23","331","Bricklayers, and Carpenters and Joiners",45,55,146.99,0,12167,39879,25894,21646,16825,6879,459,24,0,0,0,85,260,176,213,149,53,3,3,0,0,0,12256,40132,26076,21856,16973,6925,462,28,0,0,123773,942,0.755322134466584,124708,42.0085319305899,52.045578471309,19.5560830099112,5.94588959810116
"24","323","Mechanical Engineering Trades Workers",45,55,128.93,0,5562,25665,25007,26035,21078,8246,658,70,9,0,0,115,500,412,342,249,78,4,3,0,0,0,5679,26160,25422,26377,21325,8325,660,71,9,0,112330,1703,1.49342734120825,114028,27.9220893113972,64.1281088855369,26.6513487915249,7.94980180306591
"25","532","Keyboard Operators",48,52,59.05,0,507,2615,1488,1148,1035,492,57,7,0,0,0,1411,8621,7967,10541,9043,3702,264,20,3,0,0,1923,11234,9453,11688,10082,4193,321,27,3,0,7349,41572,84.9778213854991,48924,26.8927315836808,63.8193933447797,29.8953478865179,9.28787507153953
"26","211","Arts Professionals",49,51,42.19,0,409,3026,4090,4084,3357,1806,331,61,3,0,0,451,3325,3766,3000,2019,966,219,42,3,0,0,864,6355,7856,7084,5377,2769,545,104,9,0,17167,13791,44.5474513857484,30963,23.3149242644447,65.6170267738914,28.4339372799793,11.0680489616639
"27","839","Miscellaneous Factory Process Workers",51,49,50.23,0,1857,7033,6367,6943,5968,2196,160,20,3,0,0,211,1391,1731,2799,2578,637,31,11,0,0,0,2076,8423,8096,9749,8551,2826,197,30,3,0,30547,9389,23.5101161858974,39951,26.2796926234637,66.0709368976997,29.0530900352932,7.64937047883657
"28","591","Logistics Clerks",51,49,124.73,0,872,10645,15096,14723,12518,4857,301,29,7,0,0,913,10408,10541,9932,6848,1891,79,13,0,0,0,1787,21054,25636,24657,19363,6747,378,36,7,0,59048,40625,40.7582795742077,99665,22.9177745447248,69.8901319420057,26.6201775949431,7.19209351326945
"29","733","Truck Drivers",52,48,193.03,0,802,15273,27995,41679,37737,16978,878,38,4,0,0,65,1042,1124,1443,889,216,24,3,0,0,0,871,16317,29124,43117,38625,17193,905,43,4,0,141384,4806,3.28750256515494,146199,11.7565783623691,75.832256034583,38.8306349564634,12.4111656030479
"30","899","Miscellaneous Labourers",54,46,151.88,0,6772,17241,15611,20034,20971,13449,2415,271,17,0,0,1438,3352,3039,4591,4929,2890,585,48,0,0,0,8210,20597,18648,24626,25894,16339,2994,319,13,0,96781,20872,17.7403041146422,117640,24.4874192451547,58.7963277796668,38.7274736484189,16.7162529751785
"31","421","Child Carers",54,46,149.85,0,832,2116,582,406,273,136,53,0,0,0,0,8860,34266,21326,20104,14293,4385,266,19,3,0,0,9692,36381,21909,20511,14568,4525,324,17,3,0,4398,103522,95.9247590808006,107930,42.6878532382099,52.8008894653942,18.0088946539424,4.51125729639581
"32","313","ICT and Telecommunications Technicians",55,45,63.27,0,879,11613,11538,7669,4695,1224,59,0,0,0,0,145,2344,2967,2343,1295,281,10,0,0,0,0,1019,13959,14507,10013,5986,1509,67,6,0,0,37677,9385,19.9417789299222,47066,31.8233969319679,64.8153656567373,16.07954786895,3.36123741129478
"33","891","Freight Handlers and Shelf Fillers",56,44,89.53,0,11135,12720,5178,4237,3051,1221,89,12,0,0,0,2174,3525,4419,4726,2937,691,25,0,0,0,0,13303,16241,9593,8968,5993,1911,118,12,0,0,37643,18497,32.9479871749198,56139,52.6265163255491,43.7378649423752,14.3109068561962,3.63561873207574
"34","561","Clerical and Office Support Workers",56,44,84.74,0,1481,7550,8005,10562,12276,7788,1057,77,0,0,0,2642,7023,7310,10273,10570,5285,610,40,3,0,0,4124,14573,15310,20838,22844,13073,1668,121,3,0,48796,43756,47.2772063272539,92554,20.2011798517622,63.7379259675433,40.7427015580094,16.0608941806945
"35","442","Prison and Security Officers",56,44,78.3,0,575,9282,10291,11248,9540,4725,360,19,3,0,0,113,1535,2161,3021,2554,692,36,0,0,0,0,680,10813,12455,14275,12091,5412,394,19,3,0,46043,10112,18.0073012198379,56142,20.4713049054184,69.147875031171,31.9172811798653,10.3808200634106
"36","234","Natural and Physical Science Professionals",56,44,115.52,0,119,7529,12348,10978,9318,4250,559,50,5,0,0,143,10234,12740,7797,4339,1053,64,9,0,0,0,264,17767,25085,18773,13656,5306,622,58,5,0,45156,36379,44.6176488624517,81536,22.1141581632653,70.5381671899529,24.0961047880691,7.34767464678179
"37","731","Automobile, Bus and Rail Drivers",59,41,114.03,0,93,6535,9500,15454,20233,15039,1967,85,0,0,0,26,394,929,2049,2444,1136,117,6,0,0,0,115,6926,10430,17501,22676,16177,2082,88,3,0,68906,7101,9.34256055363322,75998,9.26471749256559,66.5899102607963,53.9829995526198,24.1453722466381
"38","341","Electricians",59,41,155.65,0,7790,35291,23261,20374,16167,5914,448,30,3,3,0,108,607,290,199,157,58,5,0,0,0,0,7902,35896,23553,20578,16325,5972,455,30,3,3,109281,1424,1.28630143173298,110717,39.558514049333,54.6040806741512,20.5822050814238,5.8374052765158
"39","351","Food Trades Workers",60,40,186.74,0,7279,31358,24534,18597,13084,4763,398,31,3,0,0,2815,10998,10331,10840,9115,3183,249,36,8,0,0,10102,42365,34864,29439,22200,7947,648,72,11,0,100047,47575,32.2275812548265,147648,35.5351918075423,58.5873157780668,20.9132531426094,5.87749241439098
"40","262","Database and Systems Administrators, and ICT Security Specialists",61,39,34.31,0,77,3469,6866,4899,2621,522,15,0,0,0,0,26,879,1650,1464,860,175,9,0,0,0,0,105,4350,8516,6362,3477,699,21,0,0,0,18469,5063,21.5153833078361,23530,18.9332766680833,78.0067998300042,17.836804079898,3.05992350191245
"41","521","Personal Assistants and Secretaries",61,39,102.54,0,108,577,413,438,411,377,145,31,0,0,0,1719,17709,22887,28602,26108,12919,1627,170,3,0,0,1822,18281,23296,29044,26517,13296,1768,198,7,0,2500,111744,97.8117012709639,114229,17.5988584334976,69.0341331885948,36.5809032732493,13.3670083779075
"42","342","Electronics and Telecommunications Trades Workers",64,36,78.85,0,2886,17684,16109,16382,12364,3640,239,20,4,0,0,99,719,572,489,274,91,3,0,0,0,0,2988,18401,16685,16870,12644,3737,241,20,4,0,69328,2247,3.13936430317848,71590,29.8770778041626,64.5327559715044,23.2518508171532,5.59016622433301
"43","621","Sales Assistants and Salespersons",65,35,730.57,0,45402,66250,31596,27414,24000,14386,1862,165,11,3,0,98590,103816,51768,64981,53197,19314,1473,108,12,3,0,143994,170062,83360,92390,77197,33706,3338,277,18,3,211089,393262,65.0717877524816,604345,51.9663437275066,41.8547352919276,18.9525850300739,6.17892098056574
"44","542","Receptionists",65,35,158.98,0,600,2699,1098,742,708,437,58,7,0,0,0,9880,34024,19315,28291,30016,11421,674,47,3,0,0,10478,36721,20416,29032,30727,11865,734,58,3,0,6349,133671,95.4656477646051,140034,33.7053858348687,57.2539526115086,30.9831897967636,9.04066155362269
"45","552","Financial and Insurance Clerks",66,34,113.99,0,529,10793,9848,6847,4483,1607,140,13,0,0,0,1435,20170,18720,18017,12874,2756,70,6,0,0,0,1959,30958,28571,24865,17352,4369,205,22,0,0,34260,74048,68.3679875909444,108301,30.3939945152861,65.3622773566264,20.265740851885,4.24372812808746
"46","422","Education Aides",66,34,91.78,0,411,1350,880,1188,1208,601,62,11,0,0,0,830,4276,10851,25248,17523,4166,160,3,3,0,0,1244,5626,11734,26435,18728,4768,223,14,3,0,5711,63060,91.6956275174129,68775,9.98909487459106,82.7291893856779,34.5125408942203,7.28171573973101
"47","541","Call or Contact Centre Information Clerks",68,32,115.28,0,877,9552,6404,3900,2857,1097,81,12,0,0,0,1891,17334,13028,11734,8998,2611,79,11,0,0,0,2762,26883,19431,15635,11855,3707,159,21,0,0,24780,55686,69.2043844605175,80453,36.8476004623818,58.3210072961853,19.566703541198,4.83139224143289
"48","599","Miscellaneous Clerical and Administrative Workers",69,31,111.71,0,576,7178,7930,9020,8905,4015,491,50,0,0,0,1318,16811,15199,15613,12489,4311,313,22,3,0,0,1897,23991,23128,24636,21391,8325,806,75,3,0,38165,66079,63.3887801696021,104252,24.8321375129494,66.3344588113417,29.3519548785635,8.83340367570886
"49","423","Personal Carers and Assistants",70,30,289.69,0,781,6635,6919,7804,8356,4086,316,29,3,0,0,4525,29692,26576,42539,45658,16884,899,45,5,0,0,5300,36327,33492,50343,54013,20969,1220,76,12,0,34929,166823,82.6871604742456,201752,20.6327570482573,68.3254688925017,37.8137515365399,11.041774059241
"50","221","Accountants, Auditors and Company Secretaries",71,29,207.96,0,424,18432,20714,16146,14352,8196,1553,265,15,0,0,497,21016,25143,16882,8542,2536,274,26,0,0,0,927,39443,45855,33028,22894,10737,1822,284,20,0,80097,74916,48.3288498384007,155010,26.0434810657377,65.6583446229276,23.0675440294175,8.29817431133475
